circuit,vector_seed,vectors,method,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed,chosen_family
arbiter,7089,128,segr_h32,0.9266569972843458,0,0.12908518737615732,0.11537327474704734,0.14391627783791178,0.5,True,pdom_dist
bar,7089,128,segr_h32,0.9813706036179152,0,0.2226914552230981,0.19991549181695986,0.24671688479379023,0.5,True,pdom_dist
cavlc,7089,128,segr_h32,0.9007607358816319,0,0.1472713916278821,0.09332683782728532,0.2103304909909344,0.5,True,pdom_dist
ctrl,7089,128,segr_h32,0.9518639894903976,0,0.48691898123645344,0.38913237280594903,0.5886421430361634,0.5,True,pdom_dist
dec,7089,128,segr_h32,1.0,0,1.0,1.0,1.0,1.0,True,index_mid
div,7089,128,segr_h32,0.7599346695552651,0,0.12326307907231178,0.1149213501359867,0.13203326505881527,0.5,True,inv_depth
hyp,7089,128,segr_h32,0.4523712163361078,1,0.44861034778646147,0.4453581573498253,0.45191117041399187,0.5,False,mass_balance
i2c,7089,128,segr_h32,0.9883296099785908,0,0.29702920985484393,0.257347196423817,0.33954228189286045,0.5,True,pdom_dist
int2float,7089,128,segr_h32,0.9212362494877947,0,0.18880951961952508,0.1085154331032469,0.2876708654777445,0.5,True,pdom_dist
log2,7089,128,segr_h32,0.6329296353833056,0,0.24507738834664486,0.23767740806411156,0.25320973163750166,0.5,True,pdom_dist
max,7089,128,segr_h32,0.5035551550705171,0,0.20065510660425123,0.16967965432176027,0.2327360263429101,0.5,True,pdom_dist
mem_ctrl,7089,128,segr_h32,0.04337654940257483,3,0.13879009655937904,0.1323353774226582,0.14540265614028758,0.5,False,index_mid
multiplier,7089,128,segr_h32,0.7345605459564761,0,0.27688989028755095,0.26829355278415906,0.2859736939088092,0.5,True,sink_reach_near_pr
priority,7089,128,segr_h32,0.7110029133307152,0,0.34838747761170646,0.29544790477830873,0.40285846786075336,0.5,True,wl3_common_dist
router,7089,128,segr_h32,0.7834531948704562,0,0.12202186197942813,0.02834263465800556,0.24769002149614386,0.5,True,pdom_dist
sin,7089,128,segr_h32,0.6874194708540587,0,0.34259213635883473,0.32136063547061544,0.36579185554814936,0.5,True,pdom_dist
sqrt,7089,128,segr_h32,0.691360653934538,0,0.18622387166600188,0.17528532652631884,0.19706866729467565,0.5,True,role_depth_resonance_idx_inv_dist
square,7089,128,segr_h32,0.8382646612689392,0,0.7089138709423958,0.6996616996050966,0.718689520875371,0.7089138709423958,True,mass_balance
voter,7089,128,segr_h32,0.6138388035435037,0,0.42241266501324126,0.41084553286615566,0.4338065789120539,0.5,True,index_mid
adder,7089,128,segr_h128,0.7558064349265466,0,0.85904995085868,0.8390507885242087,0.877478330940927,0.85904995085868,False,pdom_dist
arbiter,7089,128,segr_h128,0.9266569972843458,0,0.12908518737615732,0.11537327474704734,0.14391627783791178,0.5,True,pdom_dist
bar,7089,128,segr_h128,0.9813706036179152,0,0.2226914552230981,0.19991549181695986,0.24671688479379023,0.5,True,pdom_dist
cavlc,7089,128,segr_h128,0.9007607358816319,0,0.1472713916278821,0.09332683782728532,0.2103304909909344,0.5,True,pdom_dist
ctrl,7089,128,segr_h128,0.9518639894903976,0,0.48691898123645344,0.38913237280594903,0.5886421430361634,0.5,True,pdom_dist
dec,7089,128,segr_h128,1.0,0,1.0,1.0,1.0,1.0,True,index_mid
div,7089,128,segr_h128,0.7599346695552651,0,0.12326307907231178,0.1149213501359867,0.13203326505881527,0.5,True,inv_depth
hyp,7089,128,segr_h128,0.4523712163361078,1,0.44861034778646147,0.4453581573498253,0.45191117041399187,0.5,False,mass_balance
i2c,7089,128,segr_h128,0.9883296099785908,0,0.29702920985484393,0.257347196423817,0.33954228189286045,0.5,True,pdom_dist
int2float,7089,128,segr_h128,0.9212362494877947,0,0.18880951961952508,0.1085154331032469,0.2876708654777445,0.5,True,pdom_dist
log2,7089,128,segr_h128,0.6610079825692738,0,0.24507738834664486,0.23767740806411156,0.25320973163750166,0.5,True,sink_reach_near_pr
max,7089,128,segr_h128,0.5035551550705171,0,0.20065510660425123,0.16967965432176027,0.2327360263429101,0.5,True,pdom_dist
mem_ctrl,7089,128,segr_h128,0.9122354145545962,0,0.13879009655937904,0.1323353774226582,0.14540265614028758,0.5,True,pdom_dist
multiplier,7089,128,segr_h128,0.7345605459564761,0,0.27688989028755095,0.26829355278415906,0.2859736939088092,0.5,True,sink_reach_near_pr
priority,7089,128,segr_h128,0.7110029133307152,0,0.34838747761170646,0.29544790477830873,0.40285846786075336,0.5,True,wl3_common_dist
router,7089,128,segr_h128,0.7834531948704562,0,0.12202186197942813,0.02834263465800556,0.24769002149614386,0.5,True,pdom_dist
sin,7089,128,segr_h128,0.6874194708540587,0,0.34259213635883473,0.32136063547061544,0.36579185554814936,0.5,True,pdom_dist
sqrt,7089,128,segr_h128,0.691360653934538,0,0.18622387166600188,0.17528532652631884,0.19706866729467565,0.5,True,role_depth_resonance_idx_inv_dist
square,7089,128,segr_h128,0.8382646612689392,0,0.7089138709423958,0.6996616996050966,0.718689520875371,0.7089138709423958,True,mass_balance
voter,7089,128,segr_h128,0.6138388035435037,0,0.42241266501324126,0.41084553286615566,0.4338065789120539,0.5,True,index_mid
